City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
272,Merauke,ID,-8.47,140.33,83.01,76,100,7.25,overcast clouds
273,Yeniseysk,RU,58.45,92.17,-34.89,81,3,4.34,clear sky
274,Constitucion,CL,-35.33,-72.42,59.83,81,0,1.92,clear sky
275,Copala,MX,16.65,-98.98,72.84,83,2,3.33,clear sky
276,Cherskiy,RU,68.75,161.3,-34.65,83,3,3.04,clear sky
277,Pringsewu,ID,-5.36,104.97,79.25,76,96,1.03,overcast clouds
278,Lefka,CY,35.11,32.85,69.8,52,40,12.75,scattered clouds
279,Misratah,LY,32.38,15.09,56.37,39,0,16.4,clear sky
280,Cabo San Lucas,MX,22.89,-109.91,66.0,64,0,1.01,clear sky
281,Gravdal,NO,68.12,13.5,44.6,77,75,19.46,broken clouds
282,Zhanaozen,KZ,43.3,52.8,31.1,91,77,7.92,broken clouds
283,Dera Bugti,PK,29.03,69.15,60.39,27,0,7.27,clear sky
284,Kakonko,TZ,-3.28,30.96,77.31,67,94,5.26,light rain
285,Tayga,RU,56.06,85.62,-20.0,67,0,4.47,clear sky
286,Morshansk,RU,53.44,41.81,15.48,96,12,3.91,few clouds
287,Pitimbu,BR,-7.47,-34.81,82.4,69,20,16.11,few clouds
288,Leningradskiy,RU,69.38,178.42,-13.04,79,0,2.75,clear sky
289,Neropolis,BR,-16.41,-49.22,69.8,94,90,4.18,light rain
290,Bengkulu,ID,-3.8,102.27,79.93,81,99,6.35,moderate rain
291,Abu Samrah,SY,35.3,37.18,56.82,45,100,10.67,overcast clouds
292,Staritsa,RU,56.51,34.94,19.94,97,88,7.94,overcast clouds
293,Kisangani,CD,0.52,25.2,84.2,70,75,4.7,broken clouds
294,Thunder Bay,CA,48.4,-89.32,14.0,85,90,6.93,light snow
295,Mugur-Aksy,RU,50.35,90.5,-19.84,62,0,3.56,clear sky
296,Fuerte Olimpo,PY,-21.04,-57.87,78.71,84,16,6.35,few clouds
297,Guanica,PR,17.97,-66.91,70.0,87,99,4.0,overcast clouds
298,Comodoro Rivadavia,AR,-45.87,-67.5,69.8,56,0,9.17,clear sky
299,Grand Gaube,MU,-20.01,57.66,82.0,71,100,11.01,overcast clouds
300,Athabasca,CA,54.72,-113.29,14.0,85,66,4.7,broken clouds
301,Kharan,PK,28.58,65.42,53.26,33,4,5.99,clear sky
302,Raga,SS,8.46,25.68,97.12,16,41,7.99,scattered clouds
303,Suclayin,PH,15.76,121.55,75.96,85,98,1.5,overcast clouds
304,Half Moon Bay,US,37.46,-122.43,48.2,76,90,6.93,light rain
305,La Cruz,MX,23.92,-106.9,59.74,73,0,4.85,clear sky
306,Fare,PF,-16.7,-151.02,80.8,68,99,4.72,overcast clouds
